Id
PostTypeId
AcceptedAnswerId
CreationDate
Score
ViewCount
OwnerUserId
LastActivityDate
Tags
AnswerCount
CommentCount
FavoriteCount
LastEditorDisplayName
LastEditDate
LastEditorUserId
OwnerDisplayName
CommunityOwnedDate
ClosedDate
ParentId
